codeInseeImmo,valeur_moyenne_fonciere,local_total,local_maison,local_appart
3090,2159,1,1,0
3073,1306,4,4,0
3023,2382,42,27,15
3198,866,4,4,0
3066,2206,7,7,0
3055,1158,4,4,0
3062,1158,2,2,0
3157,8925,8,8,0
3236,1288,23,21,2
3185,1951,303,100,203
3321,1550,55,35,20
3189,119,2,2,0
3115,1548,5,5,0
3232,1992,4,4,0
3221,2981,14,14,0
3098,1302,15,11,4
3006,645,8,8,0
3205,1500,7,7,0
3242,973,4,4,0
3029,1545,2,2,0
3281,1520,13,13,0
3111,1797,12,12,0
3101,1438,55,44,11
3314,1563,8,8,0
3197,1272,7,7,0
3007,687,2,2,0
3195,1659,20,11,9
3028,1014,3,3,0
3178,760,9,9,0
3190,2336,129,35,94
3257,1097,7,7,0
3087,945,8,6,2
3036,1196,20,20,0
3071,888,3,3,0
3290,1274,2,2,0
3013,5082,15,7,8
3249,1096,2,2,0
3080,1496,3,3,0
3301,1629,10,10,0
3151,792,4,4,0
3136,699,2,2,0
3022,1448,11,9,2
3297,1556,10,10,0
3046,788,5,5,0
3292,1415,4,4,0
3240,1360,9,9,0
3181,1748,5,5,0
3275,1440,14,13,1
3012,1206,3,3,0
3193,894,3,3,0
3155,1126,19,13,6
3048,1311,15,12,3
3103,868,6,6,0
3140,1377,6,6,0
3077,512,2,2,0
3210,1417,2,2,0
3211,1224,16,16,0
3288,689,4,4,0
3267,1098,3,3,0
3298,1058,24,15,9
3215,1653,4,4,0
3082,1644,24,11,13
3186,1052,11,8,3
3084,1410,13,11,2
3139,244,4,4,0
3106,1078,10,10,0
3104,1256,10,10,0
3227,1270,6,6,0
3305,1061,3,3,0
3086,610,6,6,0
3262,3661,11,11,0
3053,1200,16,16,0
3061,2097,2,2,0
3258,2043,9,9,0
3112,1113,2,2,0
3219,2209,7,7,0
3094,1653,19,18,1
3021,1890,2,2,0
3042,1031,3,3,0
3300,1064,6,6,0
3255,686,3,3,0
3176,2012,4,4,0
3311,633,4,4,0
3009,1403,2,2,0
3225,854,4,4,0
3072,953,7,7,0
3291,688,4,4,0
3170,1190,4,2,2
3065,2238,7,7,0
3081,324,2,2,0
3168,12553,7,7,0
3252,1407,9,9,0
3126,1383,4,4,0
3093,1627,9,9,0
3248,586,7,7,0
3212,1304,10,10,0
3165,789,13,8,5
3286,1704,5,5,0
3246,1562,6,6,0
3119,631,3,3,0
3130,1132,4,4,0
3128,870,11,11,0
3282,1149,4,4,0
3177,1134,3,3,0
3125,1313,5,5,0
3120,1021,5,5,0
3034,1453,6,6,0
3218,1880,1,1,0
3018,1223,5,5,0
3202,686,5,5,0
3089,712,2,2,0
3167,831,5,5,0
3019,537,5,5,0
3039,1129,2,2,0
3145,1218,2,2,0
3108,2714,8,8,0
3251,985,4,4,0
3064,1281,3,3,0
3131,1825,6,5,1
3015,785,1,1,0
3091,658,1,1,0
3121,1058,3,3,0
3107,552,5,4,1
3206,1326,3,3,0
3166,791,3,3,0
3224,313,2,2,0
3203,1191,5,5,0
3317,413,4,2,2
3052,951,6,6,0
3161,1861,3,3,0
3102,3955,38,31,7
3313,1842,1,1,0
3289,864,6,6,0
3152,1776,2,2,0
3060,2020,4,4,0
3283,657,5,5,0
3162,741,1,1,0
3173,1177,6,2,4
3092,1070,6,6,0
3117,118,1,1,0
3027,1222,14,14,0
3049,2153,4,4,0
3127,708,5,5,0
3135,1262,2,2,0
3040,1641,8,8,0
3237,1154,8,8,0
3032,287,4,4,0
3001,1775,7,7,0
3132,625,3,3,0
3261,427,1,1,0
3306,2535,12,10,2
3044,1443,10,10,0
3187,947,1,1,0
3003,1195,10,10,0
3100,893,15,15,0
3208,1271,5,5,0
3191,1957,3,3,0
3265,669,2,2,0
3149,954,4,4,0
3320,625,6,6,0
3238,987,4,4,0
3207,1180,6,6,0
3024,1254,4,4,0
3069,620,1,1,0
3223,843,3,3,0
3143,101,1,1,0
3010,931,4,4,0
3037,633,2,2,0
3026,770,1,1,0
3159,1087,3,3,0
3316,789,3,3,0
3045,1481,8,8,0
3268,1075,4,4,0
3319,1204,1,1,0
3315,627,2,2,0
3156,1823,10,8,2
3035,987,2,2,0
3229,1515,6,4,2
3020,1944,6,6,0
3204,1072,6,6,0
3158,516,1,1,0
3259,510,2,2,0
3079,485,2,2,0
3213,1079,3,3,0
3278,1756,2,2,0
3196,439,3,2,1
3129,519,2,2,0
3078,2534,1,1,0
3216,725,1,1,0
3043,1443,9,9,0
3164,1746,1,1,0
3274,1794,8,8,0
3067,795,1,1,0
3147,964,3,3,0
3179,928,6,6,0
3142,740,3,3,0
3074,1375,2,2,0
3296,1743,3,3,0
3200,2346,2,2,0
3068,500,1,1,0
3234,2057,1,1,0
3051,347,1,1,0
3088,1026,2,2,0
3083,696,4,4,0
3169,2900,3,3,0
3230,522,1,1,0
3247,1135,1,1,0
3146,1603,1,1,0
3109,4082,6,6,0
3279,1019,3,3,0
3256,1852,2,2,0
3285,1533,2,2,0
3182,765,2,2,0
3192,787,3,3,0
3005,438,1,1,0
3194,1136,1,1,0
3303,764,2,2,0
3220,3703,6,6,0
